setpoint,temperature,resistance,current
4.5,4.5022,427.2441179101589,1e-06
4.5,4.50243,431.57065421484486,1e-06
4.5,4.50218,432.92850843902363,1e-06
4.5,4.50232,433.02348092528706,1e-06
4.5,4.50209,433.06028665602906,1e-06
4.5,4.50246,433.0504790959439,1e-06
4.5,4.50219,432.98740533915395,1e-06
4.5,4.5029,432.9752269565739,1e-06
4.5,4.50254,432.92714478659235,1e-06
4.5,4.50226,433.0614570348875,1e-06
4.5,4.50283,433.1545100047104,1.3949507939624201e-06
4.5,4.50266,433.1902903538726,1.3949507939624201e-06
4.5,4.50228,433.12515848000817,1.3949507939624201e-06
4.5,4.50285,433.1479857331438,1.3949507939624201e-06
4.5,4.50407,433.1410026996786,1.3949507939624201e-06
4.5,4.50351,433.1083536313955,1.3949507939624201e-06
4.5,4.50273,433.15476709611,1.3949507939624201e-06
4.5,4.50302,433.12616529303426,1.3949507939624201e-06
4.5,4.50266,433.15629424981313,1.3949507939624201e-06
4.5,4.50253,433.1477363390915,1.3949507939624201e-06
4.5,4.50296,432.8881441257302,1.94588771757639e-06
4.5,4.50288,432.93625893361934,1.94588771757639e-06
4.5,4.50282,432.8759107057235,1.94588771757639e-06
4.5,4.50378,432.9331986473155,1.94588771757639e-06
4.5,4.50268,432.91422111998713,1.94588771757639e-06
4.5,4.50278,432.9216913969403,1.94588771757639e-06
4.5,4.50213,432.90170186725317,1.94588771757639e-06
4.5,4.50236,432.96592594278667,1.94588771757639e-06
4.5,4.5019,432.9752348194449,1.94588771757639e-06
4.5,4.50268,432.9475200809128,1.94588771757639e-06
4.5,4.50226,432.84846749158385,2.7144176165949066e-06
4.5,4.50253,432.81265733411414,2.7144176165949066e-06
4.5,4.50105,432.8267514918404,2.7144176165949066e-06
4.5,4.50137,432.8474619527419,2.7144176165949066e-06
4.5,4.50251,432.79596428174113,2.7144176165949066e-06
4.5,4.50224,432.76711219989323,2.7144176165949066e-06
4.5,4.50297,432.77338989518137,2.7144176165949066e-06
4.5,4.5023,432.8057301129493,2.7144176165949066e-06
4.5,4.50199,432.83302760484867,2.7144176165949066e-06
4.5,4.50232,432.8268662071293,2.7144176165949066e-06
4.5,4.50236,432.39402872192863,3.786479009414645e-06
4.5,4.50241,432.3808187713242,3.786479009414645e-06
4.5,4.5022,432.40017317516794,3.786479009414645e-06
4.5,4.50191,432.3943701434581,3.786479009414645e-06
4.5,4.50233,432.4111593486678,3.786479009414645e-06
4.5,4.50214,432.41754994300976,3.786479009414645e-06
4.5,4.50144,432.4423772999419,3.786479009414645e-06
4.5,4.50172,432.4447462662683,3.786479009414645e-06
4.5,4.50189,432.4367472475784,3.786479009414645e-06
4.5,4.50176,432.42735191691924,3.786479009414645e-06
4.5,4.50223,431.75024966005003,5.281951900505008e-06
4.5,4.5028,431.76052409511163,5.281951900505008e-06
4.5,4.50234,431.7258359337797,5.281951900505008e-06
