T(K)	C
 1.93937941640808E+0000	 2.93245975195727E-0009
 1.96359958276829E+0000	 3.03844038583902E-0009
 1.98411302229355E+0000	 3.13186757976306E-0009
 2.00731316505802E+0000	 3.24000744455299E-0009
 2.02043448812279E+0000	 3.29815058119911E-0009
 2.04358248478156E+0000	 3.41976340970085E-0009
 2.06998746783482E+0000	 3.55331242442191E-0009
 2.09169387705322E+0000	 3.66636084618458E-0009
 2.11110601428680E+0000	 3.77834674411473E-0009
 2.13238650944372E+0000	 3.88482702922975E-0009
 2.14786730921880E+0000	 3.97382782009304E-0009
 2.17212788172612E+0000	 4.11737956244059E-0009
 2.20088757685674E+0000	 4.29851532102036E-0009
 2.21433085635233E+0000	 4.37047718353089E-0009
 2.23853006768002E+0000	 4.53281147526253E-0009
 2.26946164619033E+0000	 4.72907902210069E-0009
 2.29459920457707E+0000	 4.89102687299618E-0009
 2.30988519895535E+0000	 4.99006904283553E-0009
 2.33019842963238E+0000	 5.13415277633907E-0009
 2.35549471146321E+0000	 5.31284823920104E-0009
 2.38235431845097E+0000	 5.51232024530735E-0009
 2.40110338964440E+0000	 5.65182408037820E-0009
 2.42923889363009E+0000	 5.85905393463983E-0009
 2.45667983787208E+0000	 6.06047353725871E-0009
 2.47401032190161E+0000	 6.20719355226302E-0009
 2.49664087441629E+0000	 6.37758612303843E-0009
 2.51991306950251E+0000	 6.57152339591986E-0009
 2.55011011148953E+0000	 6.81992170306964E-0009
 2.57937598180026E+0000	 7.07612035595927E-0009
 2.60396918427980E+0000	 7.28031855390347E-0009
 2.62614749864092E+0000	 7.44396954416982E-0009
 2.64919407314320E+0000	 7.66661694970351E-0009
 2.67260462683094E+0000	 7.88236165284892E-0009
 2.69694160944984E+0000	 8.11622374367895E-0009
 2.82476094970531E+0000	 9.27832085426602E-0009
 2.84632657934160E+0000	 9.52500111783239E-0009
 2.87141520724454E+0000	 9.77377519525711E-0009
 2.90086442267442E+0000	 1.00798164631375E-0008
 2.93494952831762E+0000	 1.04422226973741E-0008
 2.96340515261188E+0000	 1.07990208414715E-0008
 2.98413005222722E+0000	 1.10133534106776E-0008
 3.01829785323570E+0000	 1.13692035663155E-0008
 3.04962048431098E+0000	 1.17327484470325E-0008
