T(K)	C
 1.83542806243198E+0000	 2.11083721560418E-0008
 1.85550313948435E+0000	 2.39078692011185E-0008
 1.87322278622691E+0000	 2.45523548483138E-0008
 1.89333580533001E+0000	 2.35491101696037E-0008
 1.91025731124301E+0000	 2.48755388760020E-0008
 1.92921165622680E+0000	 2.59465587821639E-0008
 1.94856872096834E+0000	 2.65209175319012E-0008
 1.96847082429599E+0000	 2.70835948250074E-0008
 1.98786172932118E+0000	 2.76379360850422E-0008
 2.00753134645259E+0000	 2.82010412942432E-0008
 2.02671579601732E+0000	 2.88841315836179E-0008
 2.04683402802428E+0000	 2.95669118468107E-0008
 2.07048255744982E+0000	 2.85051099468035E-0008
 2.08914943675470E+0000	 2.99123324967475E-0008
 2.11020889813514E+0000	 3.16828123159354E-0008
 2.13174922235820E+0000	 3.23456189700094E-0008
 2.15249207748908E+0000	 3.32366531372557E-0008
 2.17458223098299E+0000	 3.40223749700780E-0008
 2.19715806407315E+0000	 3.46978014599878E-0008
 2.21888341568670E+0000	 3.58811937138217E-0008
 2.24171146907692E+0000	 3.66137300174864E-0008
 2.26611739629814E+0000	 3.52653613654229E-0008
 2.28517412657970E+0000	 3.81181867869980E-0008
 2.30733060211914E+0000	 3.93510703529535E-0008
 2.33026375544449E+0000	 4.01981455638471E-0008
 2.35406158839348E+0000	 4.13097154010862E-0008
 2.37807847459520E+0000	 4.25707713159881E-0008
 2.40153065958117E+0000	 4.35465981965548E-0008
 2.42570993628686E+0000	 4.45411187013180E-0008
 2.45001425632447E+0000	 4.57403676712855E-0008
 2.47469116580475E+0000	 4.69102027381645E-0008
 2.49911746119077E+0000	 4.80499772130691E-0008
 2.52252092096689E+0000	 4.89910752229684E-0008
 2.54837932876358E+0000	 5.06859869382132E-0008
 2.57526230026002E+0000	 5.15323757045929E-0008
 2.60005821854955E+0000	 5.31553186640440E-0008
 2.62458107845285E+0000	 5.42216005217774E-0008
 2.65390024978379E+0000	 5.60942705450826E-0008
 2.67920587759900E+0000	 5.68633622822937E-0008
 2.70566050986901E+0000	 5.88777790959338E-0008
 2.72922700857798E+0000	 5.82678505772477E-0008
 2.79276622096485E+0000	 5.91888936233846E-0008
 2.81650086908907E+0000	 6.42447319306064E-0008
 2.84555876413669E+0000	 6.60339467775185E-0008
 2.87299149055084E+0000	 6.76832884927109E-0008
 2.90148395758327E+0000	 6.93406587218032E-0008
 2.93199439617246E+0000	 7.11844863906873E-0008
 2.96121143719841E+0000	 7.29373717385482E-0008
 2.98962379783869E+0000	 6.55576359110548E-0008
 3.01909212000746E+0000	 7.64340019304633E-0008
 3.04927301114509E+0000	 7.81096533299814E-0008
 3.07970671853277E+0000	 8.02795092942953E-0008
 3.11112696866399E+0000	 8.24931274626949E-0008
 3.14303963073643E+0000	 8.44098129985705E-0008
 3.17390621890375E+0000	 8.64275230905580E-0008
 3.20537787512863E+0000	 8.89095652166897E-0008
 3.23686182681739E+0000	 8.93296276563773E-0008
 3.26853630336969E+0000	 9.31957020665906E-0008
 3.30202642763192E+0000	 9.50536409689532E-0008
 3.33468348955691E+0000	 9.80403168257474E-0008
 3.36815470735076E+0000	 1.00675528982394E-0007
 3.40295777698872E+0000	 1.02728664694499E-0007
 3.43226393716884E+0000	 9.86426166185944E-0008
 3.47330142313830E+0000	 1.05202700594294E-0007
