T	Cp	H	H/T	S	-G-H	-G-H/T
1.00	0.000818	0.000367	0.000367	0.000706	0.000339	0.000339
2.00	0.00265	0.00197	0.000987	0.00175	0.00152	0.000762
3.00	0.00650	0.00633	0.00211	0.00347	0.00406	0.00135
4.00	0.0134	0.0160	0.00399	0.00619	0.00879	0.00220
5.00	0.0243	0.0344	0.00689	0.0103	0.0169	0.00338
6.00	0.0403	0.0663	0.0110	0.0160	0.0299	0.00498
7.00	0.0626	0.117	0.0167	0.0238	0.0496	0.00709
8.00	0.0927	0.194	0.0243	0.0341	0.0783	0.00979
9.00	0.132	0.306	0.0340	0.0472	0.119	0.0132
10.00	0.183	0.462	0.0462	0.0636	0.174	0.0174
11.00	0.247	0.676	0.0614	0.0839	0.247	0.0225
12.00	0.325	0.961	0.0801	0.109	0.343	0.0286
13.00	0.421	1.332	0.102	0.138	0.466	0.0359
14.00	0.535	1.809	0.129	0.174	0.622	0.0444
15.00	0.670	2.409	0.161	0.215	0.815	0.0544
16.00	0.826	3.155	0.197	0.263	1.054	0.0659
17.00	1.002	4.067	0.239	0.318	1.344	0.0790
18.00	1.199	5.166	0.287	0.381	1.693	0.0940
19.00	1.414	6.471	0.341	0.452	2.109	0.11
20.00	1.647	8.001	0.400	0.530	2.599	0.130
25.00	3.066	19.62	0.785	1.043	6.446	0.258
30.00	4.774	39.14	1.305	1.750	13.35	0.445
35.00	6.612	67.58	1.931	2.623	24.22	0.692
40.00	8.419	105.2	2.630	3.625	39.79	0.995
45.00	10.11	151.6	3.368	4.715	60.61	1.347
50.00	11.66	206.1	4.121	5.862	87.04	1.741
55.00	13.04	267.9	4.871	7.040	119.3	2.169
60.00	14.27	336.2	5.604	8.228	157.5	2.624
65.00	15.35	410.4	6.313	9.414	201.6	3.101
70.00	16.30	489.5	6.993	10.59	251.6	3.594
75.00	17.14	573.2	7.642	11.74	307.4	4.099
80.00	17.87	660.7	8.259	12.87	368.9	4.612
85.00	18.53	751.8	8.844	13.97	436.1	5.130
90.00	19.11	845.9	9.399	15.05	508.6	5.652
95.00	19.63	942.8	9.924	16.10	586.5	6.174
100.00	20.10	1042.0	10.42	17.12	669.6	6.696
105.00	20.52	1144.0	10.89	18.1	757.7	7.216
110.00	20.89	1247.0	11.34	19.07	850.6	7.733
115.00	21.23	1353.0	11.76	20.01	948.3	8.246
120.00	21.54	1460.0	12.16	20.92	1051.0	8.755
125.00	21.82	1568.0	12.54	21.80	1157.0	9.260
130.00	22.07	1678.0	12.91	22.66	1269.0	9.759
135.00	22.31	1789.0	13.25	23.50	1384.0	10.25
140.00	22.52	1901.0	13.58	24.32	1504.0	10.74
145.00	22.72	2014.0	13.89	25.1	1627.0	11.22
150.00	22.90	2128.0	14.19	25.88	1755.0	11.70
155.00	23.07	2243.0	14.47	26.64	1886.0	12.17
160.00	23.22	2358.0	14.74	27.37	2021.0	12.63
165.00	23.37	2475.0	15.00	28.09	2160.0	13.09
170.00	23.50	2592.0	15.25	28.79	2302.0	13.54
175.00	23.63	2710.0	15.49	29.47	2448.0	13.99
180.00	23.75	2828.0	15.71	30.14	2597.0	14.43
185.00	23.86	2947.0	15.93	30.79	2749.0	14.86
190.00	23.96	3067.0	16.14	31.43	2904.0	15.29
195.00	24.06	3187.0	16.34	32.05	3063.0	15.71
200.00	24.16	3308.0	16.54	32.66	3225.0	16.12
205.00	24.24	3429.0	16.72	33.26	3390.0	16.54
210.00	24.33	3550.0	16.90	33.85	3558.0	16.94
215.00	24.41	3672.0	17.08	34.42	3728.0	17.34
220.00	24.49	3794.0	17.25	34.98	3902.0	17.74
225.00	24.56	3917.0	17.41	35.53	4078.0	18.12
230.00	24.63	4040.0	17.56	36.07	4257.0	18.51
235.00	24.69	4163.0	17.71	36.60	4439.0	18.89
240.00	24.76	4287.0	17.86	37.12	4623.0	19.26
245.00	24.82	4411.0	18.00	37.63	4810.0	19.63
250.00	24.88	4535.0	18.14	38.14	4999.0	20.00
255.00	24.93	4659.0	18.27	38.63	5191.0	20.36
260.00	24.99	4784.0	18.40	39.1	5386.0	20.71
265.00	25.04	4909.0	18.53	39.59	5582.0	21.07
270.00	25.09	5035.0	18.65	40.06	5782.0	21.41
273.15	25.12	5114.0	18.72	40.35	5908.0	21.63
275.00	25.14	5160.0	18.76	40.52	5983.0	21.76
280.00	25.19	5286.0	18.88	40.97	6187.0	22.10
285.00	25.24	5412.0	18.99	41.42	6393.0	22.43
290.00	25.28	5538.0	19.10	41.86	6601.0	22.76
295.00	25.32	5665.0	19.20	42.29	6811.0	23.09
298.15	25.35	5745.0	19.27	42.56	6945.0	23.29
300.00	25.37	5792.0	19.31	42.72	7024.0	23.41
